timestamp,open,high,low,close,volume
2017-09-22,839.9000,839.9000,813.2000,817.4000,5620443
2017-09-21,847.0000,851.7000,836.2500,841.3500,5920552
2017-09-20,856.1000,872.5000,845.1000,847.1500,11402965
2017-09-19,848.7000,848.7500,837.0000,838.6000,3528729
2017-09-18,850.0000,851.0500,843.1000,845.5500,2314174
2017-09-15,842.0000,852.8500,834.7500,841.8000,13072853
2017-09-14,855.8000,861.5000,842.0000,843.8500,5425486
2017-09-13,824.0000,859.9000,822.0000,849.0000,13430225
2017-09-12,822.7500,825.0000,817.0000,823.7500,2971669
2017-09-11,821.3000,826.8500,816.5500,817.9000,5801712
2017-09-08,820.0000,823.2500,812.1000,816.9000,6056729
2017-09-07,823.0000,832.5000,815.0000,818.1000,7408536
2017-09-06,813.2000,826.2500,811.4000,822.7000,22285024
2017-09-05,815.0000,817.4250,810.5250,816.3000,11528262
2017-09-04,807.7500,818.0750,797.9250,806.6750,9856750
2017-09-01,799.9250,808.3000,799.5000,805.0500,7054954
2017-08-31,787.5000,798.7250,787.0000,797.2500,11476990
2017-08-30,773.7750,784.4000,770.6250,782.0500,4724774
2017-08-29,780.9250,783.7500,765.0000,766.0750,6932842
2017-08-28,784.0250,790.9750,780.6000,783.2750,5630656
2017-08-24,795.0000,796.5500,782.2500,784.0250,5785142
2017-08-23,782.4250,793.2750,776.5750,791.0250,3803648
2017-08-22,786.0000,789.9500,778.0250,780.0250,4358460
2017-08-21,788.5000,792.0750,780.1250,782.2000,3462376
2017-08-18,782.0000,788.9000,776.5750,787.7000,3628022
2017-08-17,784.5000,798.8250,780.5750,783.5500,7236358
2017-08-16,786.5250,788.0000,775.1000,783.0500,6206788
2017-08-14,780.5000,792.2500,780.5000,786.5250,6144598
2017-08-11,775.4750,790.0000,766.5000,773.1250,7770128
2017-08-10,796.5250,803.3250,788.9750,792.1750,4657686
2017-08-09,800.7500,810.0000,792.5000,799.4000,4771286
2017-08-08,809.0000,810.5250,793.4000,801.2750,5011136
2017-08-07,815.8000,815.8000,806.2750,808.1750,4360036
2017-08-04,831.5000,831.5000,807.5500,811.0750,8494090
2017-08-03,813.4250,832.4500,808.5250,825.0500,9009552
2017-08-02,805.0000,817.8500,804.0500,814.6000,9502770
2017-08-01,811.3750,811.3750,795.7500,801.8000,5628596
2017-07-31,800.9750,809.4000,798.0000,807.6000,7574068
2017-07-28,795.6250,802.9750,789.0000,797.2250,6552046
2017-07-27,814.0000,815.7500,794.1750,797.4000,8416142
2017-07-26,802.1000,814.9500,800.5500,811.3750,10036778
2017-07-25,812.3500,812.4750,798.8000,801.0750,9172158
2017-07-24,800.0000,812.4500,792.5000,807.6250,19854458
2017-07-21,775.0000,795.8500,772.4750,792.5000,44410224
2017-07-20,769.8750,775.0000,761.8500,764.4500,6229372
2017-07-19,756.3000,769.0000,756.3000,766.4750,5390082
2017-07-18,773.4000,775.9000,755.5000,759.9500,8978824
2017-07-17,768.5000,779.8000,768.5000,775.8750,8571618
2017-07-14,760.0000,768.0000,757.7750,766.8750,9386022
2017-07-13,754.3750,762.5000,753.0750,761.0500,10519518
2017-07-12,749.7000,762.5000,748.7500,744.5500,7819594
2017-07-11,750.5000,752.2000,743.5000,736.2969,9598458
2017-07-10,747.5500,750.4500,744.5500,735.5579,1602158
2017-07-07,721.5000,748.8750,720.0000,734.7203,16387270
2017-07-06,724.3500,725.0000,719.0000,710.7740,6213034
2017-07-05,714.7250,723.7250,712.0000,710.8233,12439044
2017-07-04,695.0000,713.5500,694.5000,700.6240,8602400
2017-07-03,694.1000,697.3500,685.5000,680.4717,4203772
2017-06-30,696.0000,696.2000,687.5250,679.9543,3572422
2017-06-29,700.0000,705.0000,695.0500,686.2119,5896644
2017-06-28,719.9750,719.9750,697.7750,689.0697,7117076
2017-06-27,717.9250,721.5000,712.5000,708.1133,14899756
2017-06-23,718.0000,721.0000,715.3000,707.4728,14237664
2017-06-22,714.7250,722.7000,713.8500,705.8961,10111884
2017-06-21,703.9000,714.0000,702.1250,700.6486,9139886
2017-06-20,704.5000,711.0500,703.7250,695.8939,4636798
2017-06-19,695.1000,707.9000,695.1000,694.3665,6965824
2017-06-16,694.5500,697.9000,684.6500,684.2903,14954314
2017-06-15,680.0000,697.5000,679.5500,681.9006,12933608
2017-06-14,657.9500,680.0000,657.9500,668.8682,24202054
2017-06-13,660.3000,663.5000,655.5000,647.6072,2754582
2017-06-12,663.2750,664.8750,658.5000,650.1201,3855026
2017-06-09,672.5500,676.4750,665.5000,658.1268,6325604
2017-06-08,670.0000,672.4000,664.0250,656.1559,3613042
2017-06-07,655.6000,671.0000,654.5000,659.7528,5119908
